suburb,state,postcode
Blacktown,NSW,2148
Blackville,NSW,2343
Blackwall,NSW,2256
Blair Athol,NSW,2560
Blairmount,NSW,2559
Blakebrook,NSW,2480
Blakehurst,NSW,2221
Blakney Creek,NSW,2581
Bland,NSW,2721
Blandford,NSW,2338
Blaxland,NSW,2774
Blaxlands Creek,NSW,2460
Blaxlands Ridge,NSW,2758
Blayney,NSW,2799
Bligh Park,NSW,2756
Blighty,NSW,2713
Blowering,NSW,2720
Blue Bay,NSW,2261
Blue Cow,NSW,2624
Blue Haven,NSW,2262
Blue Knob,NSW,2480
Blue Nobby,NSW,2408
Blue Vale,NSW,2380
Blueys Beach,NSW,2428
Boambee,NSW,2450
Boambee East,NSW,2452
Boambolo,NSW,2582
Boat Harbour,NSW,2316
Boat Harbour,NSW,2480
Bobadah,NSW,2877
Bobin,NSW,2429
Bobs Creek,NSW,2439
Bobs Farm,NSW,2316
Bobundara,NSW,2630
Boco,NSW,2631
Bocoble,NSW,2850
Bocobra,NSW,2865
Bodalla,NSW,2545
Bodangora,NSW,2820
Boeill Creek,NSW,2739
Bogan,NSW,2826
Bogan Gate,NSW,2876
Bogangar,NSW,2488
Bogee,NSW,2849
Boggabilla,NSW,2409
Boggabri,NSW,2382
Bogong Peaks Wilderness,NSW,2720
Bohena Creek,NSW,2390
Bohnock,NSW,2430
Bolaro,NSW,2629
Bolivia,NSW,2372
Bolong,NSW,2540
Bolton Point,NSW,2283
Bolwarra,NSW,2320
Bolwarra Heights,NSW,2320
Bom Bom,NSW,2460
Bomaderry,NSW,2541
Bombah Point,NSW,2423
Bombala,NSW,2632
Bombay,NSW,2622
Bombira,NSW,2850
Bombo,NSW,2533
Bombowlee,NSW,2720
Bombowlee Creek,NSW,2720
Bomen,NSW,2650
Bonalbo,NSW,2469
Bondi,NSW,2026
Bondi Beach,NSW,2026
Bondi Forest,NSW,2632
Bondi Junction,NSW,2022
Bonnells Bay,NSW,2264
Bonnet Bay,NSW,2226
Bonnie Vale,NSW,2232
Bonny Hills,NSW,2445
Bonnyrigg,NSW,2177
Bonnyrigg Heights,NSW,2177
Bonshaw,NSW,2361
Bonville,NSW,2450
Booerie Creek,NSW,2480
Book Book,NSW,2650
Booker Bay,NSW,2257
Bookham,NSW,2582
Bookookoorara,NSW,2372
Bookram,NSW,2460
Boolambayte,NSW,2423
Boolaroo,NSW,2284
Boolcarroll,NSW,2388
Booligal,NSW,2711
Boolijah,NSW,2540
Boomanoomana,NSW,2712
Boomerang Beach,NSW,2428
Boomey,NSW,2866
Boomi,NSW,2405
Boomi Creek,NSW,2476
Boona Mount,NSW,2877
Boonal,NSW,2409
Boonoo Boonoo,NSW,2372
Boorabee Park,NSW,2480
Booragul,NSW,2284
Booral,NSW,2425
Boorga,NSW,2652
Boorganna,NSW,2429
Boorolong,NSW,2350
Boorook,NSW,2372
Boorooma,NSW,2650
Booroorban,NSW,2710
Boorowa,NSW,2586
Bootawa,NSW,2430
Booti Booti,NSW,2428
Booyong,NSW,2480
Bora Ridge,NSW,2471
Borah Creek,NSW,2346
Borambil,NSW,2343
Borambola,NSW,2650
Border Ranges,NSW,2474
